CountryName,CountryCode,Year,PopulationFemale,PopulationFemalePercentOfTotal,LaborForceFemale,LaborForceFemalePercentOfTotalLaborForce,LaborForceTotal,ProportionOfSeatsHeldByWomenInNationalParliamentsPercent
Azerbaijan,AZE,2013,4735143,50.2839906434285,2370844,48.8819905742888,4850138,16
Bahamas-The,BHS,2013,192965,51.0704238026048,106333,48.3140757972983,220087,13.2
Bahrain,BHR,2013,509743,37.7747740337195,146038,19.4775766063152,749775,10
Bangladesh,BGD,2013,77796175,49.5020775159965,31184083,40.324293925872,77333240,19.7
Barbados,BRB,2013,147052,52.0532525318315,79150,48.8857869901425,161908,16.7
Belarus,BLR,2013,5066358,53.5216346887861,2182475,48.6870627455713,4482659,26.6
Belgium,BEL,2013,5693300,50.9111439828238,2266695,45.7366016300321,4955976,38
Belize,BLZ,2013,172396,50.087015133951,56586,37.8124812060221,149649,3.1
Benin,BEN,2013,5178299,50.166465934887,2023006,46.9633185765723,4307630,8.4
Bhutan,BTN,2013,349158,46.26833828715,163247,41.4967577281982,393397,6.4
Bolivia,BOL,2013,5190255,49.9066291882129,2238578,44.5477254984604,5025123,25.4
Bosnia and Herzegovina,BIH,2013,1920215,50.2209605618678,566632,38.0169503351958,1490472,21.4
Botswana,BWA,2013,1089090,50.0383641701623,531939,47.1283411136499,1128703,7.9
Brazil,BRA,2013,103754885,50.7956533128954,47368105,43.7037081528788,108384636,8.6
Brunei Darussalam,BRN,2013,199188,48.4054639257933,79702,39.7748311982553,200383,NULL
Bulgaria,BGR,2013,3732553,51.3763800511793,1553362,46.5725020035301,3335363,24.6
Burkina Faso,BFA,2013,8615318,50.4275265248364,3647733,47.4011902623967,7695446,15.7
Burundi,BDI,2013,5298043,50.6216678280509,2470868,51.4830236547024,4799384,30.5
Cabo Verde,CPV,2013,257173,50.6986582764589,93288,39.136946589865,238363,20.8
Cambodia,KHM,2013,7726287,51.2402043059273,4216387,49.9196989370187,8446339,20.3
Cameroon,CMR,2013,11107952,50.0106658065587,4064667,45.6387301445435,8906179,31.1
Canada,CAN,2013,17720492,50.4020111827748,9214168,47.2084793777407,19518036,24.7
Central African Republic,CAF,2013,2389272,50.7203421673058,1053224,47.1095935078627,2235689,NULL
Chad,TCD,2013,6566881,49.9542591132612,2191902,44.9723506161816,4873888,14.9
Channel Islands,CHI,2013,81784,50.4409823730403,36347,44.7347692307692,81250,NULL
Chile,CHL,2013,8906407,50.6741671930997,3498956,40.6706758995725,8603142,14.2
China,CHN,2013,658249458,48.4941179257823,351697085,43.8639575606295,801790592,23.4
Colombia,COL,2013,24020812,50.7385151011579,10157345,42.4991647526235,23900105,12.1
Comoros,COM,2013,372621,49.5706381693688,78321,30.4860105563081,256908,3
Congo-Dem. Rep.,ZAR,2013,36391028,50.1579503529158,13944298,49.774511361564,28014937,8.9
